1074889	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium sp. (Mastotermes darwiniensis)	Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR
1075399	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu	Unassigned
1075	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Fuscovulum	Fuscovulum blasticum	Unassigned
1076124	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae	Phytohabitans	Phytohabitans flavus	Unassigned
1076255	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Centapoxvirus	Yokapox virus	Unassigned
1076550	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea rwandensis	Unassigned
1076588	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Thiolapillus	Thiolapillus brandeum	Unassigned
1076596	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter persici	Unassigned
1076	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Rhodopseudomonas	Rhodopseudomonas palustris	Unassigned
1077935	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus zhejiangensis	Unassigned
1077946	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces hundungensis	Unassigned
1078471	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Ornithinimicrobiaceae	Serinicoccus	Serinicoccus profundi	Unassigned
1078773	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum rubrisubalbicans	Herbaspirillum rubrisubalbicans M1
1079985	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces chartreusis	Streptomyces chartreusis NRRL 3882
1079	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Blastochloridaceae	Blastochloris	Blastochloris viridis	Unassigned
107	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Unassigned	Unassigned
1080223	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter pacificus	Unassigned
1081866	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas socia	Unassigned
1082704	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Lonsdalea	Lonsdalea britannica	Unassigned
1082851	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas serinivorans	Unassigned
1082931	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Pelagibacterium	Pelagibacterium halotolerans	Pelagibacterium halotolerans B2
1082933	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium amorphae	Mesorhizobium amorphae CCNWGS0123
1084719	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Donellivirus	Donellivirus gee	Unassigned
1085623	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola nitratireducens	Glaciecola nitratireducens FR1064
1085644	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Allofrancisella	Allofrancisella frigidaquae	Unassigned
1085647	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Allofrancisella	Allofrancisella inopinata	Unassigned
1085	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	Rhodospirillum rubrum	Unassigned
1089444	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Dickeya	Dickeya solani	Unassigned
1089553	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermacetogenium	Thermacetogenium phaeum	Thermacetogenium phaeum DSM 12270
108980	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter ursingii	Unassigned
108981	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter schindleri	Unassigned
1090974	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Melissococcus	Melissococcus plutonius	Melissococcus plutonius DAT561
1091045	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes subsp. defendens ATCC 11828
1091494	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylotuvimicrobium	Methylotuvimicrobium alcaliphilum	Methylotuvimicrobium alcaliphilum 20Z
109232	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia monacensis	Unassigned
109328	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia trevisanii	Unassigned
1094342	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax xenomutans	Unassigned
1094489	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella	Bartonella australis	Bartonella australis Aust/NH1
1094497	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella	Bartonella vinsonii	Bartonella vinsonii subsp. berkhoffii str. Winnie
109472	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Bisgaardia	Bisgaardia hudsonensis	Unassigned
1094	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeovibrioides	Unassigned
1096243	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina piscisalsi	Unassigned
1096997	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	Acinetobacter baumannii BJAB0868
